contig  chromosome
ML169942.1	NW_022592687.1
ML169943.1	NW_022592691.1
ML169944.1	NW_022592696.1
ML169945.1	NW_022592712.1
ML169946.1	NW_022592728.1
ML169947.1	NW_022592744.1
ML169948.1	NW_022592747.1
ML169949.1	NW_022592752.1
ML169950.1	NW_022592758.1
ML169951.1	NW_022592822.1
ML169952.1	NW_022592877.1
ML169953.1	NW_022592893.1
ML169954.1	NW_022592901.1
ML169955.1	NW_022592919.1
ML169956.1	NW_022592920.1
ML169957.1	NW_022592922.1
ML169958.1	NW_022592927.1
ML169959.1	NW_022592937.1
ML169960.1	NW_022592959.1
ML169961.1	NW_022592998.1
ML169962.1	NW_022593010.1
ML169963.1	NW_022593015.1
ML169964.1	NW_022593016.1
ML169965.1	NW_022593032.1
ML169966.1	NW_022593033.1
ML169967.1	NW_022593038.1
ML169968.1	NW_022593083.1
ML169969.1	NW_022593092.1
ML169970.1	NW_022593106.1
ML169971.1	NW_022593107.1
ML169972.1	NW_022593119.1
ML169973.1	NW_022593140.1
ML169974.1	NW_022593145.1
ML169975.1	NW_022593151.1
ML169976.1	NW_022593160.1
ML169977.1	NW_022593174.1
ML169978.1	NW_022593184.1
ML169979.1	NW_022593198.1
ML169980.1	NW_022593205.1
ML169981.1	NW_022593222.1
ML169982.1	NW_022593224.1
ML169983.1	NW_022593231.1
ML169984.1	NW_022593244.1
ML169985.1	NW_022593253.1
ML169986.1	NW_022593254.1
ML169987.1	NW_022593255.1
ML169988.1	NW_022593266.1
ML169989.1	NW_022593283.1
ML169990.1	NW_022593301.1
ML169991.1	NW_022593365.1
ML169992.1	NW_022593371.1
ML169993.1	NW_022593372.1
ML169994.1	NW_022593375.1
ML169995.1	NW_022593376.1
ML169996.1	NW_022593383.1
ML169997.1	NW_022593389.1
ML169998.1	NW_022593419.1
ML169999.1	NW_022593448.1
ML170000.1	NW_022593464.1
ML170001.1	NW_022593475.1
ML170002.1	NW_022593510.1
ML170003.1	NW_022593512.1
ML170004.1	NW_022593513.1
ML170005.1	NW_022593514.1
ML170006.1	NW_022593533.1
ML170007.1	NW_022593540.1
ML170008.1	NW_022593548.1
ML170009.1	NW_022593549.1
ML170010.1	NW_022593551.1
ML170011.1	NW_022593558.1
ML170012.1	NW_022593562.1
ML170013.1	NW_022593564.1
ML170014.1	NW_022593597.1
ML170015.1	NW_022593598.1
ML170016.1	NW_022593603.1
ML170017.1	NW_022593604.1
ML170018.1	NW_022593629.1
ML170019.1	NW_022593630.1
ML170020.1	NW_022593637.1
ML170021.1	NW_022593640.1
ML170022.1	NW_022593648.1
ML170023.1	NW_022593657.1
ML170024.1	NW_022593687.1
ML170025.1	NW_022593695.1
ML170026.1	NW_022593713.1
ML170027.1	NW_022593739.1
ML170028.1	NW_022593741.1
ML170029.1	NW_022593742.1
ML170030.1	NW_022593747.1
ML170031.1	NW_022593781.1
ML170032.1	NW_022593821.1
ML170033.1	NW_022593822.1
ML170034.1	NW_022593828.1
ML170035.1	NW_022593831.1
ML170036.1	NW_022593845.1
ML170037.1	NW_022593849.1
ML170038.1	NW_022593858.1
ML170039.1	NW_022593902.1
ML170040.1	NW_022593910.1
ML170041.1	NW_022593918.1
ML170042.1	NW_022593929.1
ML170043.1	NW_022593961.1
ML170044.1	NW_022593975.1
ML170045.1	NW_022593976.1
ML170046.1	NW_022594000.1
ML170047.1	NW_022594028.1
ML170048.1	NW_022594029.1
ML170049.1	NW_022594031.1
ML170050.1	NW_022594033.1
ML170051.1	NW_022594070.1
ML170052.1	NW_022594089.1
ML170053.1	NW_022594105.1
ML170054.1	NW_022594107.1
ML170055.1	NW_022594133.1
ML170056.1	NW_022594148.1
ML170057.1	NW_022594150.1
ML170058.1	NW_022594162.1
ML170059.1	NW_022594177.1
ML170060.1	NW_022594178.1
ML170061.1	NW_022594191.1
ML170062.1	NW_022594193.1
ML170063.1	NW_022594194.1
ML170064.1	NW_022594202.1
ML170065.1	NW_022594207.1
ML170066.1	NW_022594250.1
ML170067.1	NW_022594276.1
ML170068.1	NW_022594288.1
ML170069.1	NW_022594292.1
ML170070.1	NW_022594299.1
ML170071.1	NW_022594322.1
ML170072.1	NW_022594343.1
ML170073.1	NW_022594345.1
ML170074.1	NW_022594380.1
ML170075.1	NW_022594383.1
ML170076.1	NW_022594403.1
ML170077.1	NW_022594425.1
ML170078.1	NW_022594427.1
ML170079.1	NW_022594433.1
ML170080.1	NW_022594435.1
ML170081.1	NW_022594461.1
ML170082.1	NW_022594464.1
ML170083.1	NW_022594476.1
ML170084.1	NW_022594506.1
ML170085.1	NW_022594520.1
ML170086.1	NW_022594523.1
ML170087.1	NW_022594524.1
ML170088.1	NW_022594529.1
ML170089.1	NW_022594556.1
ML170090.1	NW_022594572.1
ML170091.1	NW_022594589.1
ML170092.1	NW_022594600.1
ML170093.1	NW_022594602.1
ML170094.1	NW_022594604.1
ML170095.1	NW_022594605.1
ML170096.1	NW_022594606.1
ML170097.1	NW_022594609.1
ML170098.1	NW_022594627.1
ML170099.1	NW_022594649.1
ML170100.1	NW_022594670.1
ML170101.1	NW_022594681.1
ML170102.1	NW_022594682.1
ML170103.1	NW_022594683.1
ML170104.1	NW_022594684.1
ML170105.1	NW_022594690.1
ML170106.1	NW_022594693.1
ML170107.1	NW_022594694.1
ML170108.1	NW_022594714.1
ML170109.1	NW_022594724.1
ML170110.1	NW_022594753.1
ML170111.1	NW_022594759.1
ML170112.1	NW_022594765.1
ML170113.1	NW_022594766.1
ML170114.1	NW_022594785.1
ML170115.1	NW_022594790.1
ML170116.1	NW_022594802.1
ML170117.1	NW_022594806.1
ML170118.1	NW_022594811.1
ML170119.1	NW_022594820.1
ML170120.1	NW_022594825.1
ML170121.1	NW_022594840.1
ML170122.1	NW_022594841.1
ML170123.1	NW_022594844.1
ML170124.1	NW_022594861.1
ML170125.1	NW_022594869.1
ML170126.1	NW_022594878.1
ML170127.1	NW_022594918.1
ML170128.1	NW_022594920.1
ML170129.1	NW_022594923.1
ML170130.1	NW_022594932.1
ML170131.1	NW_022594986.1
ML170132.1	NW_022595006.1
ML170133.1	NW_022595007.1
ML170134.1	NW_022595008.1
ML170135.1	NW_022595010.1
ML170136.1	NW_022595027.1
ML170137.1	NW_022595030.1
ML170138.1	NW_022595038.1
ML170139.1	NW_022595053.1
ML170140.1	NW_022595071.1
ML170141.1	NW_022595084.1
ML170142.1	NW_022595112.1
ML170143.1	NW_022595115.1
ML170144.1	NW_022595119.1
ML170145.1	NW_022595120.1
ML170146.1	NW_022595121.1
ML170147.1	NW_022595126.1
ML170148.1	NW_022595131.1
ML170149.1	NW_022595161.1
ML170150.1	NW_022595162.1
ML170151.1	NW_022595163.1
ML170152.1	NW_022595189.1
ML170153.1	NW_022595218.1
ML170154.1	NW_022595236.1
ML170155.1	NW_022595239.1
RXNX01015434	NW_022589837.1
RXNX01015435	NW_022589838.1
RXNX01015436	NW_022589839.1
RXNX01015437	NW_022589840.1
RXNX01015448	NW_022589843.1
RXNX01015449	NW_022589844.1
RXNX01015459	NW_022589847.1
RXNX01015460	NW_022589848.1
RXNX01015467	NW_022589850.1
